Company,Location HQ,Industry,%,Date,Source,$ Raised (mm),Stage,Date Added,Country,AI,# Laid Off,_source,_scraped_at
Believer Meats,"['Jerusalem', 'Non-U.S.']",Food,,2025-12-11T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/bknaajdzbe,389.0,Series B,2025-12-12T05:38:27.000Z,Israel,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
EyeEm,"['Berlin', 'Non-U.S.']",Other,1.0,2025-12-11T00:00:00.000Z,https://petapixel.com/2025/12/11/eyeem-is-shutting-down/,24.0,Acquired,2025-12-12T05:36:21.000Z,Germany,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Lusha,['Boston'],Sales,0.08,2025-12-10T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/sybqqlwm11g,245.0,Series B,2025-12-12T05:37:31.000Z,United States,No,24.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Tenstorrent,"['Toronto', 'Non-U.S.']",Hardware,0.07,2025-12-09T00:00:00.000Z,https://www.eetimes.com/layoffs-at-tenstorrent-as-startup-pivots-towards-developer-sales/,1000.0,Series D,2025-12-12T05:39:27.000Z,Canada,No,80.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Whatfix,"['Bengaluru', 'Non-U.S.']",AI,0.06,2025-12-09T00:00:00.000Z,https://inc42.com/buzz/softbank-backed-whatfix-fires-60-employees/,265.0,Series E,2026-02-07T04:39:00.000Z,India,Yes,60.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
VSCO,['SF Bay Area'],Consumer,,2025-12-09T00:00:00.000Z,https://techcrunch.com/2025/12/09/vsco-lays-off-24-staff-as-its-consumer-business-suffers/,90.0,Series B,2025-12-10T20:59:10.000Z,United States,Yes,24.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
GenWise,"['New Delhi', 'Non-U.S.']",Other,1.0,2025-12-09T00:00:00.000Z,https://inc42.com/buzz/exclusive-kunal-shah-backed-genwise-shuts-down-operations/,3.0,Seed,2025-12-10T21:09:00.000Z,India,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Mobileye,"['Jerusalem', 'Non-U.S.']",Transportation,0.04,2025-12-08T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/hjznnzvzzl,2100.0,Post-IPO,2025-12-08T23:31:26.000Z,Israel,No,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Payoneer,['New York City'],Finance,0.06,2025-12-08T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/s1fu4c4zzg,,Post-IPO,2025-12-08T23:36:48.000Z,United States,No,60.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Teads,['New York City'],Marketing,0.1,2025-12-04T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/skb9q0lgwl,123.0,Unknown,2025-12-10T21:09:40.000Z,United States,No,180.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Discourse,['Dover'],Consumer,,2025-12-04T00:00:00.000Z,https://blog.discourse.org/2025/12/our-commitment-to-your-ongoing-success-with-discourse/,20.0,Series A,2026-07-09T17:43:56.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Cellebrite,"['Tel Aviv', 'Non-U.S.']",Other,0.01,2025-12-03T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/izmghyvm1,410.0,Post-IPO,2025-12-08T23:39:30.000Z,Israel,No,20.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Modern Hydrogen,['Seattle'],Energy,,2025-12-03T00:00:00.000Z,https://fuelcellsworks.com/2025/12/03/green-investment/bill-gates-backed-modern-hydrogen-lays-off-most-of-its-employees-after-decade-long-pursuit-of-clean-energy,99.0,Series B,2025-12-04T02:52:06.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Aqua Security,"['Tel Aviv', 'Non-U.S.']",Security,,2025-12-01T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/4bzp62ggf,325.0,Series E,2025-12-02T00:29:11.000Z,United States,No,20.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Inbound Health,['Minneapolis'],Healthcare,1.0,2025-12-01T00:00:00.000Z,https://www.axios.com/pro/health-tech-deals/2025/12/01/inbound-health-closing-home-care-waiver,50.0,Series B,2025-12-02T00:28:13.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Junglee Games,"['New Delhi', 'Non-U.S.']",Consumer,,2025-11-26T00:00:00.000Z,https://inc42.com/buzz/junglee-games-parent-flutter-sheds-350-jobs-in-post-rmg-ban-recast/,3.0,Seed,2025-12-09T00:03:40.000Z,India,No,350.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Shopify,"['Ottawa', 'Non-U.S.']",Retail,,2025-11-26T00:00:00.000Z,https://www.thecanadianpressnews.ca/business/shopify-lays-off-staff-to-keep-team-fast-sharp-and-focused/article_2b3b4e8c-4531-5e36-a0ad-b02a9f8e6b6a.html,122.0,Post-IPO,2025-12-04T02:50:18.000Z,Canada,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
HP,['SF Bay Area'],Hardware,,2025-11-25T00:00:00.000Z,https://www.wsj.com/tech/hp-to-cut-up-to-10-of-workforce-as-part-of-ai-push-a2c198da?mod=hp_lead_pos4,,Post-IPO,2025-03-01T00:00:40.000Z,United States,Yes,4000.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
ezCater,['Boston'],Food,0.04,2025-11-21T00:00:00.000Z,https://www.bizjournals.com/boston/news/2025/11/21/ezcater-tech-layoffs.html,319.0,Series D,2025-11-23T10:47:22.000Z,United States,No,40.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Monarch Tractor,['SF Bay Area'],Other,,2025-11-19T00:00:00.000Z,https://techcrunch.com/2025/11/19/monarch-tractor-preps-for-layoffs-and-warns-employees-it-may-shut-down/,214.0,Unknown,2025-11-23T10:42:28.000Z,United States,No,102.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Pleo,"['Copenhagen', 'Non-U.S.']",Finance,0.12,2025-11-19T00:00:00.000Z,https://tech.eu/2025/11/19/expense-management-firm-pleo-hit-by-layoffs/,428.0,Series C,2025-11-23T10:40:46.000Z,Denmark,No,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
UKG,"['Montevideo', 'Non-U.S.']",HR,,2025-11-18T00:00:00.000Z,https://www.elobservador.com.uy/cafe-y-negocios/la-multinacional-ukg-cierra-sus-operaciones-uruguay-y-despide-300-profesionales-n6025098,,Unknown,2025-11-23T10:44:33.000Z,Uruguay,No,300.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Culture Amp,"['Melbourne', 'Non-U.S.']",HR,0.06,2025-11-18T00:00:00.000Z,https://www.capitalbrief.com/article/culture-amp-lays-off-6-of-its-staff-globally-as-it-focuses-on-new-ai-products-3d5073ac-879a-4e01-9a08-a513ead8834b/,257.0,Series F,2025-11-23T10:40:02.000Z,Australia,Yes,60.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Veson Nautical,['Boston'],Other,0.2,2025-11-18T00:00:00.000Z,https://www.tradewindsnews.com/technology/veson-nautical-acknowledges-staff-cuts-after-growth-spurt/2-1-1902984,,Private Equity,2025-11-23T10:45:34.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Playtika,"['Tel Aviv', 'Non-U.S.']",Consumer,0.2,2025-11-17T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/h1y4ejyg11g,,Post-IPO,2025-11-23T10:39:24.000Z,Israel,No,700.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Pipe,['SF Bay Area'],Finance,0.5,2025-11-16T00:00:00.000Z,https://fintechbusinessweekly.substack.com/p/celtic-bank-faces-another-lawsuit,453.0,Series D,2025-11-17T03:35:02.000Z,United States,No,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Flipkart,"['Bengaluru', 'Non-U.S.']",Retail,,2025-11-16T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/sk7ktewxwg,12900.0,Acquired,2025-11-17T03:33:55.000Z,India,No,40.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
BharatAgri,"['Mumbai', 'Non-U.S.']",Food,1.0,2025-11-13T00:00:00.000Z,https://inc42.com/buzz/agritech-startup-bharatagri-shuts-operations-due-to-funding-crunch/,21.0,Series A,2025-12-09T00:10:12.000Z,India,No,37.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
AI Fleet,['Austin'],Transportation,,2025-11-13T00:00:00.000Z,https://www.bizjournals.com/austin/news/2025/11/13/layoffs-hit-at-austin-ai-startup.html,56.0,Series B,2025-11-14T02:53:23.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Synopsys,['SF Bay Area'],Other,0.1,2025-11-12T00:00:00.000Z,https://www.reuters.com/business/world-at-work/synopsys-cut-about-10-its-workforce-2025-11-12/,,Post-IPO,2025-11-14T02:50:37.000Z,United States,No,2000.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Deepwatch,['Tampa Bay'],Security,0.32,2025-11-12T00:00:00.000Z,https://techcrunch.com/2025/11/12/cybersecurity-firm-deepwatch-lays-off-dozens-citing-move-to-accelerate-ai-investment/,256.0,Series C,2025-11-14T02:51:58.000Z,United States,Yes,80.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
GamesKraft,"['Bengaluru', 'Non-U.S.']",Consumer,,2025-11-10T00:00:00.000Z,https://inc42.com/buzz/real-money-gaming-ban-gameskrafts-layoff-count-climbs-to-400/,,Unknown,2025-11-11T19:39:10.000Z,India,No,280.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
FNZ,"['London', 'Non-U.S.']",Finance,0.03,2025-11-10T00:00:00.000Z,https://citywire.com/new-model-adviser/news/exclusive-fnz-to-cut-3-of-global-workforce-accenture-operations-frontrunner/a2478068,3500.0,Private Equity,2026-06-16T20:43:09.000Z,United Kingdom,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Sonder,['SF Bay Area'],Travel,1.0,2025-11-10T00:00:00.000Z,https://skift.com/2025/11/10/sonder-shuts-down-after-marriott-termination-marking-the-end-of-a-hospitality-experiment/,839.0,Post-IPO,2025-11-10T21:40:49.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Axonius,['New York City'],Security,0.11,2025-11-06T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/sj0syry1wg,865.0,Series E,2025-11-07T04:50:55.000Z,United States,No,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
MyBambu,['Memphis'],Finance,1.0,2025-11-05T00:00:00.000Z,https://cbs12.com/news/local/new-west-palm-beach-fintech-firm-to-lay-off-141-employees-amid-funding-collapse-layoff-south-florida-palm-beach-county-downtown-west-palm-beach-news-mybambu-a-fintech-startup-2751-s-dixie-hwy-420-november-5-2025,15.0,Unknown,2025-11-07T01:18:24.000Z,United States,No,141.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Hewlett Packard Enterprise,['SF Bay Area'],Hardware,,2025-11-05T00:00:00.000Z,https://www.sfchronicle.com/tech/article/layoffs-hpe-hitachi-vantara-21140900.php,1400.0,Post-IPO,2025-11-07T14:27:40.000Z,United States,No,52.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Indeed,['Austin'],HR,,2025-11-05T00:00:00.000Z,https://www.businessinsider.com/indeed-layoffs-job-cuts-after-summer-reorg-2025-11,5.0,Acquired,2025-11-08T11:02:48.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
TripAdvisor,['Boston'],Travel,0.2,2025-11-05T00:00:00.000Z,https://skift.com/2025/11/05/layoffs-hit-20-of-tripadvisor-viator-and-administrative-staff-scoop/,3.0,Post-IPO,2025-11-07T04:52:44.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Porter,"['Bengaluru', 'Non-U.S.']",Logistics,0.18,2025-11-04T00:00:00.000Z,https://inc42.com/buzz/exclusive-porter-lays-off-over-350-employees/,357.0,Series F,2025-11-07T01:17:28.000Z,India,No,350.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Personio,"['Munich', 'Non-U.S.']",HR,0.1,2025-10-29T00:00:00.000Z,Internal memo,724.0,Series E,2025-10-31T03:25:02.000Z,Germany,No,165.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Amazon,['Seattle'],Retail,0.01,2025-10-27T00:00:00.000Z,https://www.cnbc.com/2025/10/28/amazon-layoffs-corporate-workers-ai.html,8100.0,Post-IPO,2025-10-28T03:39:50.000Z,United States,Yes,14000.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Chegg,['SF Bay Area'],Education,0.45,2025-10-27T00:00:00.000Z,https://www.reuters.com/sustainability/boards-policy-regulation/hit-by-ai-edtech-firm-chegg-slashes-jobs-names-new-ceo-major-overhaul-2025-10-27/,227.0,Post-IPO,2025-10-28T03:38:56.000Z,United States,Yes,388.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Lightricks,"['Jerusalem', 'Non-U.S.']",Consumer,0.15,2025-10-27T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/byvtpanceg,335.0,Series D,2025-11-07T04:51:52.000Z,Israel,Yes,85.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Medtronic,"['Jerusalem', 'Non-U.S.']",Healthcare,,2025-10-27T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/s1g3z02cgg,5900.0,Post-IPO,2025-12-08T23:42:27.000Z,United States,No,60.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Hootsuite,"['Vancouver', 'Non-U.S.']",Marketing,0.2,2025-10-27T00:00:00.000Z,https://www.biv.com/news/technology/hootsuite-laying-off-hundreds-of-staff-20-of-workforce-11405954,300.0,Series C,2025-10-28T03:40:58.000Z,Canada,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Robin AI,"['London', 'Non-U.S.']",Legal,0.33,2025-10-24T00:00:00.000Z,https://sifted.eu/articles/robin-ai-cuts-a-third-of-staff,68.0,Series B,2025-10-28T03:41:57.000Z,United Kingdom,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Applied Material,['SF Bay Area'],Manufacturing,0.04,2025-10-23T00:00:00.000Z,https://www.bloomberg.com/news/articles/2025-10-23/applied-materials-to-cut-4-of-global-staff-after-sales-slow,2100.0,Post-IPO,2025-10-25T01:14:23.000Z,United States,No,1400.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Rivian,['Los Angeles'],Transportation,0.04,2025-10-23T00:00:00.000Z,https://www.reuters.com/business/autos-transportation/rivian-lay-off-more-than-600-workers-amid-ev-pullback-wsj-reports-2025-10-23/,10700.0,Post-IPO,2025-10-25T01:12:17.000Z,United States,No,600.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Kaseya,['Miami'],Security,,2025-10-23T00:00:00.000Z,https://www.crn.com/news/channel-news/2026/kaseya-lays-off-5-percent-of-workforce-to-align-our-go-to-market-teams?itc=refresh,547.0,Private Equity,2026-01-13T01:36:45.000Z,United States,No,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
AirSlate,['Boston'],Other,,2025-10-23T00:00:00.000Z,https://www.bizjournals.com/boston/news/2025/10/23/airslate-layoffs-2025.html,181.0,Series B,2026-07-11T21:11:47.000Z,United States,No,170.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Altruist,['SF Bay Area'],Finance,0.15,2025-10-23T00:00:00.000Z,https://www.investmentnews.com/ria-news/altruist-lays-off-50-employees-but-ceo-says-profitability-is-in-sight/262681,449.0,Series E,2025-10-25T01:11:50.000Z,United States,Yes,50.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Meta,['SF Bay Area'],Consumer,,2025-10-22T00:00:00.000Z,https://www.cnbc.com/2025/10/22/meta-layoffs-ai.html,26000.0,Post-IPO,2025-10-22T15:37:39.000Z,United States,No,600.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Ludeo,['Los Angeles'],Consumer,0.5,2025-10-20T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/bjukuox0xe,42.0,Series A,2025-10-25T01:13:13.000Z,United States,Yes,25.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Zepto,"['Mumbai', 'Non-U.S.']",Retail,0.05,2025-10-18T00:00:00.000Z,https://www.moneycontrol.com/news/business/startup/around-300-employees-impacted-at-zepto-amid-cost-efficiency-drive-at-the-quick-commerce-company-13622853.html,2600.0,Series H,2025-12-02T00:26:57.000Z,India,No,300.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Broadcom,['SF Bay Area'],Hardware,,2025-10-17T00:00:00.000Z,https://www.businessinsider.com/broadcom-layoffs-rifs-cuts-sales-staff-ai-expansion-2025-10,,Post-IPO,2025-11-11T02:52:14.000Z,United States,Yes,247.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Tia,['New York City'],Healthcare,0.23,2025-10-17T00:00:00.000Z,https://www.businessinsider.com/womens-health-startup-tia-cut-23-of-workforce-layoff-2025-10,133.0,Series B,2025-10-25T01:16:12.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Bill.com,['SF Bay Area'],Finance,0.06,2025-10-15T00:00:00.000Z,https://www.bill.com/blog/a-message-to-bill-employees,280.0,Post-IPO,2025-10-15T20:03:38.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
OfferUp,['Seattle'],Retail,,2025-10-15T00:00:00.000Z,https://www.geekwire.com/2025/offerup-hit-with-new-round-of-layoffs-as-marketplace-plans-to-simplify-its-offerings/,381.0,Unknown,2025-10-22T15:49:05.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Handshake,['SF Bay Area'],Recruiting,0.15,2025-10-14T00:00:00.000Z,https://www.upstartsmedia.com/p/handshake-refounding-layoff-ai,434.0,Series F,2025-10-15T20:35:53.000Z,United States,Yes,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Smartsheet,['Seattle'],Other,,2025-10-02T00:00:00.000Z,https://www.geekwire.com/2025/smartsheet-cuts-jobs-shortly-after-departure-of-longtime-ceo/,152.0,Post-IPO,2025-10-06T14:50:37.000Z,United States,No,120.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Google,['SF Bay Area'],Consumer,,2025-10-02T00:00:00.000Z,https://www.sfchronicle.com/tech/article/google-bay-area-layoffs-21081705.php,26.0,Post-IPO,2025-10-06T14:52:29.000Z,United States,Yes,50.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Paycom,['Oklahoma City'],HR,,2025-10-01T00:00:00.000Z,https://www.oklahoman.com/story/business/information-technology/2025/10/01/paycom-layoffs-2025-workers-replaced-with-ai/86448337007/,,Post-IPO,2025-10-01T23:12:50.000Z,United States,Yes,500.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Google,['SF Bay Area'],Consumer,,2025-10-01T00:00:00.000Z,https://www.cnbc.com/2025/10/01/google-cloud-unit-layoffs.html,26.0,Post-IPO,2025-10-06T14:51:32.000Z,United States,Yes,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Simpl,"['Bengaluru', 'Non-U.S.']",Finance,,2025-10-01T00:00:00.000Z,https://inc42.com/buzz/bnpl-startup-simpl-lays-off-80-employees-after-rbi-whiplash/,72.0,Series B,2025-10-01T23:13:44.000Z,India,No,80.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Just Eat,"['Amsterdam', 'Non-U.S.']",Food,0.05,2025-09-25T00:00:00.000Z,https://www.reuters.com/business/world-at-work/just-eat-lay-off-around-450-employees-partly-automating-operations-2025-09-25/,129.0,Acquired,2025-09-29T22:34:02.000Z,Netherlands,Yes,450.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Yolo Group,"['Tallinn', 'Non-U.S.']",Finance,,2025-09-23T00:00:00.000Z,https://news.err.ee/1609809363/yolo-group-to-lay-off-280-staff-in-estonia,,Unknown,2026-05-20T02:22:47.000Z,Estonia,No,280.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
GamesKraft,"['Bengaluru', 'Non-U.S.']",Consumer,,2025-09-18T00:00:00.000Z,https://inc42.com/buzz/now-gameskraft-lays-off-120-employees/,,Unknown,2025-09-25T01:14:59.000Z,India,No,120.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
ZipRecruiter,"['Tel Aviv', 'Non-U.S.']",Recruiting,,2025-09-16T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/pwjukv20s,769.0,Post-IPO,2025-09-16T23:30:33.000Z,United States,No,80.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Fiverr,"['Tel Aviv', 'Non-U.S.']",Other,0.3,2025-09-15T00:00:00.000Z,https://www.wsj.com/business/fiverr-to-cut-about-250-jobs-in-refocusing-effort-reiterates-guidance-8f15ee4b,111.0,Post-IPO,2025-09-16T23:33:07.000Z,Israel,Yes,250.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Sorbet,"['Tel Aviv', 'Non-U.S.']",Finance,,2025-09-14T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/syhzsenjxl,58.0,Series A,2025-12-08T23:53:06.000Z,Israel,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Hike,"['New Delhi', 'Non-U.S.']",Consumer,1.0,2025-09-13T00:00:00.000Z,https://techcrunch.com/2025/09/13/hike-once-a-unicorn-shuts-down-as-india-cracks-down-on-real-money-gaming/,261.0,Unknown,2025-09-15T03:31:21.000Z,India,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
xAI,['SF Bay Area'],AI,,2025-09-12T00:00:00.000Z,https://www.businessinsider.com/elon-musk-xai-layoffs-data-annotators-2025-9,22700.0,Unknown,2025-09-15T03:19:41.000Z,United States,No,500.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Zupee,"['New Delhi', 'Non-U.S.']",Consumer,0.3,2025-09-11T00:00:00.000Z,https://yourstory.com/2025/09/zupee-employees-real-money-gaming-ban-layoffs,121.0,Series B,2025-09-15T03:33:40.000Z,India,No,170.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Atlassian,"['Sydney', 'Non-U.S.']",Other,,2025-09-10T00:00:00.000Z,https://www.ziptone.nl/en/nieuws/atlassian-schrapt-200-customerservicebanen-in-nederland-en-frankrijk/,210.0,Post-IPO,2025-09-18T23:07:30.000Z,Australia,Yes,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Verbit,['New York City'],Data,,2025-09-10T00:00:00.000Z,https://www.calcalistech.com/ctechnews/article/r19t0xjixg,569.0,Series E,2025-12-08T23:54:34.000Z,United States,Yes,22.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Microsoft,['Seattle'],Other,,2025-09-08T00:00:00.000Z,https://www.bizjournals.com/seattle/news/2025/09/08/microsoft-lays-off-dozens-more-employees-in-wa.html,1.0,Post-IPO,2025-09-08T23:06:16.000Z,United States,No,42.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Rivian,['Los Angeles'],Transportation,0.01,2025-09-05T00:00:00.000Z,https://www.latimes.com/business/story/2025-09-08/rivian-lays-off-employees-new-suv-tax-credits,10700.0,Post-IPO,2025-09-08T19:40:42.000Z,United States,No,200.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Scope3,['New York City'],Energy,,2025-09-05T00:00:00.000Z,https://www.adweek.com/media/scope3-lays-off-sales-staff-ai-agentic-advertising-restructuring/,45.0,Series B,2025-09-08T20:05:51.000Z,United States,No,,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Head Digital Works,"['Hyderabad', 'Non-U.S.']",Consumer,,2025-09-04T00:00:00.000Z,https://entrackr.com/news/a23-parent-lays-off-500-employees-following-rmg-ban-report-9901016,74.0,Private Equity,2025-09-08T23:07:43.000Z,India,No,500.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Salesforce,['SF Bay Area'],Sales,,2025-09-04T00:00:00.000Z,https://www.kron4.com/news/bay-area/salesforce-laying-off-262-employees-in-san-francisco-after-ceo-praises-ai/,65.0,Post-IPO,2025-09-08T23:12:45.000Z,United States,Yes,262.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Oracle,['SF Bay Area'],Other,,2025-09-04T00:00:00.000Z,https://www.kron4.com/news/technology-ai/oracle-bay-area-layoffs/,,Post-IPO,2025-09-08T23:17:29.000Z,United States,No,254.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
GupShup,['SF Bay Area'],Other,,2025-09-04T00:00:00.000Z,https://inc42.com/buzz/exclusive-gupshup-lays-off-100-employees-in-cost-cutting-exercise/,484.0,Series F,2025-09-08T16:09:43.000Z,India,No,100.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
Bobble AI,"['New Delhi', 'Non-U.S.']",Consumer,,2025-09-04T00:00:00.000Z,https://entrackr.com/exclusive/exclusive-bobble-ai-lays-off-50-employees-amid-organizational-redesign-9888363,59.0,Unknown,2025-09-08T23:01:56.000Z,India,No,50.0,"layoffs.fyi (Airtable shared-view, live)",2026-08-04T07:46:52.067389+00:00
